Course,Assignments,Due Date,Due_Time
Softw Des & Data Structures,04.03 Linked Bags,09/15/24,11:59 PM
Softw Des & Data Structures,03.03 Lab Week 03: Post Lab Comprehension Questions (classic),09/15/24,11:59 PM
Softw Des & Data Structures,04.02 Linked Chains (Pointers),09/15/24,11:59 PM
Signals and Systems,Quiz 5,09/15/24,11:59 PM
Signals and Systems,Quiz 4,09/15/24,11:59 PM
Softw Des & Data Structures,03.06 TRIAL for Assessment #1 - Requires Respondus LockDown Browser,09/15/24,11:59 PM
Embedded Systems,M8,09/16/24,11:59 PM
Integrated Design Project ,Week 4,09/16/24,11:59 PM
Integrated Design Project ,Notebook Week 4,09/16/24,11:59 PM
Softw Des & Data Structures,04.07.01 Peer Instruction W4D1,09/16/24,01:10 PM
Signals and Systems,ARW: TLO7,09/17/24,08:00 AM
Signals and Systems,EQ: TLO7,09/17/24,11:59 PM
Signals and Systems,TLO7: Attendance,09/17/24,08:00 AM
Softw Des & Data Structures,01.08 Project 1: Collection Display,09/17/24,11:59 PM
Signals and Systems,Bonus Points: Arrive Early to class TLO7,09/17/24,08:00 AM
Embedded Systems,HW3,09/17/24,11:59 PM
Embedded Systems,M9,09/17/24,11:59 PM
Softw Des & Data Structures,04.09 Assessment #1 (weeks 1-4) - Requires Respondus LockDown Browser,09/18/24,12:50 PM
Signals and Systems,ARW: TLO8,09/19/24,08:00 AM
Signals and Systems,TLO8: Attendance,09/19/24,08:00 AM
Signals and Systems,Bonus Points: Arrive Early to class TLO8,09/19/24,08:00 AM
Signals and Systems,EQ: TLO8,09/19/24,11:59 PM
Signals and Systems,"Lab 2: Learning Objectives 1, 2 and 5 (TLOs 1,2,4,6,8)",09/20/24,11:59 PM
Softw Des & Data Structures,04.04 Lab Week 04: Grocery Bags,09/20/24,07:30 PM
Integrated Design Project ,Attendance 9/20/24,09/20/24,01:27 PM
Physical Electronics,HW2,09/20/24,11:59 PM
Signals and Systems,Bonus Points: Attend Week 4 Office Hours of Dr. L,09/20/24,11:59 PM
Signals and Systems,Quiz 7,09/22/24,11:59 PM
Softw Des & Data Structures,04.05 Lab Week 04: Post-Lab Grocery Bag - FileIO ,09/22/24,11:59 PM
Softw Des & Data Structures,05.01 Efficiency,09/22/24,11:59 PM
Softw Des & Data Structures,05.02 Stacks,09/22/24,11:59 PM
Signals and Systems,Quiz 6,09/22/24,11:59 PM
Softw Des & Data Structures,05.05.01 Peer Instruction W5D1,09/23/24,01:10 PM
Integrated Design Project ,Notebook Week 5,09/23/24,11:59 PM
Integrated Design Project ,Week 5,09/23/24,11:59 PM
Signals and Systems,ARW: TLO9,09/24/24,08:00 AM
Signals and Systems,EQ: TLO9,09/24/24,11:59 PM
Signals and Systems,TLO9: Attendance,09/24/24,08:00 AM
Signals and Systems,Bonus Points: Arrive Early to class TLO10,09/24/24,08:00 AM
Softw Des & Data Structures,05.05.02 Peer Instruction W5D2,09/25/24,01:10 PM
Signals and Systems,EQ: TLO10,09/26/24,11:59 PM
Signals and Systems,TLO10: Attendance,09/26/24,08:00 AM
Signals and Systems,Bonus Points: Arrive Early to class TLO11,09/26/24,08:00 AM
Signals and Systems,ARW: TLO10,09/26/24,08:00 AM
Softw Des & Data Structures,05.06 CodeWorkout Exercises Week 5,09/27/24,11:59 PM
Integrated Design Project ,Attendance 9/27/24,09/27/24,01:27 PM
Softw Des & Data Structures,05.03 Lab Week 05: Ice Cream Cone Stack ,09/27/24,07:30 PM
Signals and Systems,Bonus Points: Attend Week 5 Office Hours of Dr. L.,09/27/24,11:59 PM
Softw Des & Data Structures,06.02 Software Design and MVC,09/29/24,11:59 PM
Signals and Systems,Quiz 9,09/29/24,11:59 PM
Signals and Systems,Quiz 8,09/29/24,11:59 PM
Softw Des & Data Structures,06.01 Ethics,09/29/24,11:59 PM
Softw Des & Data Structures,06.08 Food Truck System Design,09/29/24,11:59 PM
Softw Des & Data Structures,05.04 Lab Week 05: Post-Lab Activity UML Diagram ,09/29/24,11:59 PM
Integrated Design Project ,Milestone 2,09/30/24,11:59 PM
Integrated Design Project ,Notebook Week 6,09/30/24,11:59 PM
Softw Des & Data Structures,06.05.01 Peer Instruction W6D1,09/30/24,01:10 PM
Softw Des & Data Structures,04.06 Project 2: Whack A Shape,10/01/24,11:59 PM
Signals and Systems,Bonus Points: Bring Equation Sheet to in class Exam 1 Review Session,10/01/24,08:00 AM
Signals and Systems,Bonus Points: Arrive Early to class Exam 1 Review Session,10/01/24,08:00 AM
Signals and Systems,Exam 1 Review: Attendance,10/01/24,08:00 AM
Softw Des & Data Structures,06.05.02 Peer Instruction W6D2,10/02/24,01:10 PM
Softw Des & Data Structures,CS Academic Integrity Video and Quiz,10/02/24,11:59 PM
Signals and Systems,ECE2714: Exam 1 Attendance,10/03/24,08:00 AM
Signals and Systems,MidTerm Exam 1,10/03/24,08:00 AM
Softw Des & Data Structures,06.06 CodeWorkout Exercises Week 6,10/04/24,11:59 PM
Integrated Design Project ,Attendance 10/4/24,10/04/24,01:27 PM
Signals and Systems,Bonus Points: Attend Week 6 Office Hours of Dr. L,10/04/24,11:59 PM
Softw Des & Data Structures,06.03 Lab Week 06: ArrayBasedStack,10/04/24,07:30 PM
Signals and Systems,ECE2714: My Course Concept Map: Second draft: Full credit for upload of work,10/04/24,11:59 PM
Signals and Systems,Quiz 10,10/06/24,11:59 PM
Softw Des & Data Structures,06.07 Ethics Discussion:  Denial of Service,10/06/24,11:59 PM
Signals and Systems,Quiz 11,10/06/24,11:59 PM
Softw Des & Data Structures,06.04 Lab Week 06: Post-Lab Debugger,10/06/24,11:59 PM
Softw Des & Data Structures,07.03 Recursion,10/06/24,11:59 PM
Softw Des & Data Structures,07.05.01 Peer Instruction W7D1,10/07/24,01:10 PM
